,Title,rating score,IsItPositive,Review
150," Well....What can i say now.....WINTER IS COMING !!
",10,True,"well..i don't know were to begin. I mean the is one of the finest hour of television that i have witnessed until now. i don't know what people say about season 5 being the least best among all the seasons, but i can surely tell you that all the starting episodes were made for the character development and for a great build up which has finally paid of in this episode. I cant call it just an episode because it was an experience. The best thing in the episode was the long stare between the walker leader and Jon snow, i mean it was one of the most intense scenes one could witness in their whole lives. those who have not watched the episode and is reading my review , i can assure you one thing, IT WILL BE THE GREATEST HOUR YOU WOULD HAVE EVER SPENT WATCHING TELEVISION AND I MEAN IT."
151," Best Episode Ever?
",10,True,"Is this the best episode of Game of Thrones ever? So far shock value has been the cause of a lot of positive reviews in episodes that were, OK, but not great.This episode however is not like that, it doesn't rely on shock or surprise, it is well written, well put together and for me the best episode of the season by a long way. Possibly too, of the entire GOT show.I am SOIAF book reader, and I know that this series has been, (mostly) way off the events that are portrayed in the books, but many key elements are in place on this episode, such as Arya's development, Cercei's story, and the re-emergence of the real enemy.I love the additions to the storyline that develop with this episode, it is both very entertaining, and very intuitive of the TV writers. Hats off to them.So to conclude, this may well be the best episode or GOT so far, along with, (in my opinion), 'The The Rains of Castamere' and 'Blackwater' Watch it, and decide for yourselves."
152," Felt like a real Game of Thrones episode.. FINALLY!
",10,True,"Excellent episode.. Loved how Jon Snow finally meets the White Walkers and the Night's King. Personally, I believe that the Sand Snakes were the worst bit of this season and since they were not in this episode, the episode was amazing :P Cersei finally got what she deserved and the new side of Arya was interesting to watch. The Sansa scene was alright, but viewers do have to admit, you need bouts of boredom to truly enjoy the best surprises of a show. I do not understand how a few people rate it less than a solid 10. The fact that WINTER HAS COME is alone to bring chills to the minds of the viewers. If some people think that nudity or death of a major character has to make an episode outstanding, I think they need some psychological help."
153," The thirst for salvation and the everlasting hunger.
",10,True,"This episode may very well be the best of the season, capturing the major characters as they are at most private moment or facing grave predicament. Arya has begun her training, which is actually an exercise in medieval espionage. The girl dons new name and outfits, then the girl pretends. The relationship with her enigmatic mentor is highly unconventional, yet Arya seems content. This is strangely one of her happier times.Meanwhile the matriarchs of the kingdoms have much different fates. Cersei doesn't face her incarceration well, she must lower herself to the man he gave power to. While the prospect of humility sickens her, the need for survival might be enough to overcome that. Daenerys has much better luck as she meets with the wise Tyrion. The two have a very good chemistry, this encounter is long overdue, and it turns out to be a pleasant one. The same cannot be said for Jorah who still longs for the every so distant affection.The best comes at the second half as Jon Snow ventures deep into hostile territory. Icy village of the Wildlings is nothing short of breathtaking. Mix of winter landscape and isolated settlement make for an amazingly cool visual. Negotiation goes as expected, stern opposition from most, a touch of violence and reasonable few willing to hear his plea for mutual survival. It all changes when the White Walker nation attacks.Tyrion and Daenerys are not the only ones having fateful meeting. The elusive White Walkers make their presences known as they storm Jon Snow and the Wildlings like a plague. With excellent choreography and special effects, the skirmish has the production value any feature length movie would envy. Each scene is as fascinating and engaging than the last, culminating in intense physical and tearful emotional struggle.This is Game of Thrones as its peak, and quite possibly the best presentation any TV show could hope to offer."
154," Probably the best episode of the series
",10,True,"Game of Thrones deals with a massive cast and crew and the story line has widened so much in the past few years that even they cannot show everybody in one episode. But this episode deals with everyone of significant importance, like Daenerys, Arya, Cercei, Sansa and Jon Snow, of course. Nowadays it is very rare to all of them in a single episode, so score on that account.Also from the story's point of view it had some big changes and the story line of some characters changed after this episode. Like Arya starts her training to be a faceless men. Cercei's character changed completely, we know the cercei who used to always threaten people, but now in this episode she can be seen licking water from the floor. Tyrion comes on the winning side finally(sorry, that's just how i feel, big daenerys targaryen fan, can't help it). Theon finally tells Sansa, that he never murdered Bran and Rickon, and now i think he might finally start helping her.Awesome character development, i have to give them that. Cercei for instance, from the most powerful person to a helpless prisoner. These sorts of things can only happen at GOT....And now finally the things that happened at Hardhome. White Walkers..... I was hoping for a fight with the walkers, but didn't thought to see it in this season. Definitely, i have to say that i was surprised and shocked. In the scene where everyone at Hardhome starts to run and there is a big chaos and the shot is taken in such a way that we are not able to see what is actually happening at that time. I thought that there was an avalanche but as soon as i realized that it was the Wights and Others, my reaction was like, oh god, White Walkers, now they are definitely dead.Best Direction, Best Direction of Photography, and all the CGI they put in that scene it as absolutely amazing. Hardhome was shown very artfully, although it was quite different from as described in the books. All the fights choreographed nicely... And man, how do they make the White Walkers look so awesome. All in all, that was some serious stuff that happened in this episode. By far the best episode of GOT...Respect + Love +"
155," Hardhome
",10,True,Definitely one of the best battles from the worst season
156," night king
",10,True,One of the best things ever shown on tv!no need to say more!
157," The best episode of the season- if not of the show
",10,True,"""Stark, Baratheon,Lannister,Targaryen,Tyrell, they're all just spikes in a wheel"" This week's episode was one of the most intriguing, shocking and most of all exciting episodes of this season. We begin with Arya (no one) during her training to become an assassin, and we can already see that she does no longer refer to herself as Arya, making us believe she truly is going to become an assassin. Then we see Cercei degrading herself for some water on the floor, this for me truly showed some kind of poetic justice, for all the lives she's both taken and ruined. Later we see Tyrion and Dany discussing plans for the first time, I can just imagine what plans they have for the future of the seven kingdoms, but the question remains: Will Dany be like her father when given Westeros? And lastly, we get to the jewel of the episode, the battle of Hardhome. At first I thought the Thens would go revolutionary against the free folk for joining the Night's Watch, but then we see the mist... and what comes with it. This battle showed us how this series still has potential for the future, for it showed us what will happen if the White Walkers are not stopped. Lastly, I want to congratulate the writers for this episode that revived the pace of the show by giving us a true masterpiece. Keep it up, Game of Thrones!"
158," Winter Has Finally Come
",10,True,"In what is arguably one of the greatest episodes of the show so far, winter has finally arrived, and in a way that nobody would've expected. Up there with the likes of the Rains of Castamere and Blackwater, Hardhome may have a heavy use of CGI, but it is not to the detriment of its epic atmosphere and unprecedented revelation. No doubt, viewers will be talking about this one for a while, and with good reason.Starting in King's Landing, it's a vast satisfying moment to see Cersei locked in a cell that she ironically put herself in. Even more satisfying is watching her being hit with a spoon by the Septa Unella who is constantly demanding her confession. It's now at the point where even Qyburn is imploring that she confess, but Cersei has so much self-centered pride that she will never concede defeat. Watching her slurp the spilled water from her cell floor is pleasing to see, and is symbolic of her almighty downfall.Across the Narrow Sea in Braavos, Arya is finally learning the ways of serving the Many-Faced God, and sporting a new outfit, she's looking like the Arya we once new with a gratifying confidence that absolutely makes her character unique. The Waif continues to doubt her, but Jaqen is willing to go ahead. Her job is unclear so far, but her ultimate path to conquer the world of lying has taken a great step in the right direction.In Meereen, a new alliance has begun which could change the fabric of Game of Thrones forever. Daenerys, Tyrion and Jorah all contribute to some well-acted sequences that are taking some interesting turns. Despite his banishment, Jorah continues to show his loyalty to Danerys, even ignoring his own mortality to do it, and this could lead to another nail-biting moment in the next episode. Both Peter Dinklage and Emilia Clarke act there socks off in what is a superior dialogue scene where very important details are being discussed. Eventually, and happily for us, Daenerys accepts Tyrion's offer to become her adviser.Briefly, in the North, we get that big chance to see Theon (or Reek) finally reveal that he had not killed Sansa's brothers. This could mean many things for the near future, but at the moment it means that Sansa can now start to understand Theon's terrible position. In addition, Roose Bolton is making his inevitable plans for war with Stannis, emphasising the defense of Winterfell itself. Ramsay has other ideas though, and it could men that soon he will take a group of Bolton soldiers to infiltrate Stannis' camp - now that could be interesting.Of course, the best moments came beyond the Wall in Hardhome, as something unbelievable gruesome and deadly unfolds. As I have already iterated, winter has finally come (the Starks are always right eventually), and the army of the dead with it. Karsi's character was wonderfully introduced, and then instantly taken away in what is one of the most terrifying sequences the show's given us up until now. Jon's fierce battle with the White Walker was beyond exciting, and that final moment as the dead rise again as wights, the Night's King shows just how powerful their army is, and things are looking very grim for the world now.A superb episode of two halves - one where the game of thrones continues to be played, albeit slowly, but very surely, and then the real horror is revealed as we finally realise that all these battles of king against king and lord against lord don't matter compared to what's coming beyond the Wall. If only more people had the same luck as Jon Snow.9.5/10"
159," Great series Beautiful story Excellent dialogues Excellent output Great wars
",10,True,"Great series
Beautiful story
Excellent dialogues
Excellent output
Great wars"
160," Hardhome: Chills
",10,True,"As you can tell by it's nearly perfect rating, Hardhome might just be the best episode in one of the best series ever created.I won't go into details but I can still remember how amazing and chilling it was the first time I saw it. It's a roller-coaster ride that ends in a calm, chilling, omniscient way that felt amazing."
161," Season Five is probably among the show's very best ones. And Hardhome rocks!
",10,True,"Game of Thrones has become THE television fixation which people tend to really love or really hate. As for me, I reckon it's a medieval-European-influenced piece of fiction that's become a television tapestry of political commentary, genre-breaking television conventions, fantastic fight scenes and characters who have become household names comparable to the Star Wars and Harry Potter casts of characters: yet these guys have the intensity and evocation of tragic Shakespearean characters.Game of Thrones is blockbuster television done right, and Hardhome is one gigantic set-piece bursting with spectacle and character that has helped the show stay great."
162," Hard hitting home
",10,True,"Came to 'Game of Thrones' fairly late in the game and due to being so busy the binge-watching was gradual. Have found myself truly loving the show, very quickly becoming one of my favourites. It totally lives up to the hype and not only does it do the brilliant source material justice (a rarity in television) it is on its own merits one of the finest, most addictive and consistently compelling shows in recent years and quality-wise it puts a lot of films in recent years to shame.Although it seems to not be a popular opinion, actually liked Season 5 better than most fans. It was not perfect by any stretch, the Sand Snakes being a notable flaw and were the main drawback to the polarising but to me better than given credit for ""Unbowed, Unbent, Unbroken"". There was also a lot to admire and love and personally liked to loved the previous episodes despite things taking a while to settle. While ""The Gift"" was the season's first truly outstanding episode, it is with ""Hardhome"" that sees 'Game of Thrones' in all its glory. ""Hardhome"" is not just the magnum opus of Season 5 even with two episodes left to go (the previous season magnum opuses being Season 1 with ""Baelor"", Season 2 with ""Blackwater"", Season 3 with ""The Rains of Castamere"" and Season 4 with ""The Laws of Gods of Men"" with a good case being made too for ""The Children""), but also one of the best episodes of the entire show.Plotlines and character development are advanced the most they were all season. There is a perfect balance of intricate character moments and drama, especially with Arya, the character of Karsi and showing signs of hope in increasingly dire straits. Similarly, there is a powerful mix of heart-wrenching poignancy, nail-biting intensity, shocking revelations and some of the show's most spectacular action that has emotional impact (exciting, terrifying and moving) and is more than just spectacle. The characters are all interesting and layered, and ""Hardhome"" boasts the sharpest script of Season 5, and one of the sharpest of the whole show, and the tightest pacing of all the fifth season episodes, anyone frustrated with the slow pace of the previous episodes (personally am not one of them) will be relieved.'Game of Thrones' always delivers on the acting. The casting is spot on and the performances are superb across the board, particularly from Peter Dinklage, Emilia Clarke, Maisie Williams and Birgitte Hjort Sorensen.Visually, ""Hardhome"" looks amazing, as one would expect for 'Game of Thrones'. The scenery is throughout spectacular, the sets are hugely atmospheric and beautiful on the eyes with a real meticulous eye for detail and the costumes suit the characters to a tee. The make-up is beautifully done. As well the cinematography and editing, which are cinematic quality as well.One cannot talk about ""Hardhome"" without mentioning the thematically, orchestrally and atmospherically multi-layered music scoring and the unforgettable main theme. Again, worthy of a high-budget fantasy/action/drama film.In conclusion, a fantastic episode that hits home hard. Anyone disappointed with the previous episodes, a lot were and again not one of them, will be thrilled with this. 10/10 Bethany Cox"
163," Under rated
",10,True,"This episode is like an injection loaded with the purest form of adrenaline. Starts off as a great episode then gets better and better. Ends on a fantastic note. The last 15 minutes at mereen are simply incredible and i would rate it as the best episode of the season (I've seen the finale). Hardhome was incredible but this is even better. The fighting scenes are perhaps the best I've seen till date,the brilliance of this show matches the grandeur of this show which is simply unbelievable. game of thrones is among the finest things in the history of mankind,its far ahead than other shows that we see today. Cant thank the makers of this show enough. It is so raw and feels so real,GOT is a whole new world in itself. This is insane stuff and television doesnot get any better than this. Im sure by now u have got my point.Lool"
164," THE DANCE OF DRAGONS. Arguably the best episode of the show's entire run.
",10,True,"The show's run of ninth episodes have been consistently excellent, either relying on a shocking and emotional character death or an elongated battle sequence. The Dance of Dragons, whose title is a play on the latest novel in George R.R. Martin's source material series, takes the two conventional episode nine structures and mashes them together, not unlike the ways in which Aegon and Rhaenyra Targaryen fought in the titular Dance of Dragons, set decades before the show's time frame. This historic battle provides the framework for the episodes two most notable scenes; Shireen's sacrifice and Dany's reopening of the fighting pits, both of which I'll get to later. There's bound to be controversy surrounding the former, a narrative twist I would like to immediately defend, but if the Game of Thrones following has any justice left, no-one will attack the events of the episode's closing sequence. Because that was just awesome.The Dance of Dragons hits its stride after we leave the Wall and Braavos and Dorne, as the episode's final half hour lies solely with Stannis and Dany. This episode saw Stannis suffer an attack from Ramsay and his men overnight, leading to him succumbing to Melisandre's cruel plan to sacrifice his daughter Shireen to the Lord of Light. This is unquestionably a horrific ordeal to watch, and director David Nutter's notion of filming the faces of those watching rather than the victim suffering isn't a far cry away from the framing of Sansa's rape back in episode six. It's already been proclaimed that this was entirely out of character, for Stannis to sacrifice and burn his own daughter at the stake, but I fail to believe this. Stannis was, after all, introduced as a man so insistent on taking the throne that he murdered his own (innocent) brother in cold blood, and willingly sent hundreds of men to their death after the wildfire explosion in Blackwater Bay. Every time Stannis has been backed into a corner, he has relied on and taken Melisandre's advice, and it is entirely justified that he would do so again, now that he's in his most difficult corner yet.Earlier in this season, Stannis and Shireen had a heartfelt moment in which Stannis told her the story of how he saved her from Greyscale, and proudly declared her as his daughter and someone whom he loves. Perhaps bis uneventful time the Wall softened viewers to Stannis, a man who, let's face it, has shown repeated signs of bordering on insanity. When placed in that context, it is Stannis and Shireen's nicer scene that feels more out of character than his sacrifice of her. The show rarely portrays Stannis in a positive light (there isn't much there to portray, after all), and for him to burn his own daughter at the stake feels entirely true to both his character and his motives, as difficult as it is to watch. And that it is, I'd place this only a fraction below the emotional weight of the infamous Red Wedding, this time two seasons ago. We knew what Stannis planned as soon as he sent Davos away, so for Shireen to unknowingly offer herself up for the sacrifice was a heartbreaking scene, followed only by her sudden realisation and ultimate demise. Screaming for her parents whilst she burns alive, Kerry Ingram (Shireen) gave the performance of the season in the show's most emotionally devastating sequence in years; a moment that will not be forgotten easily.But it is followed by a sequence that, whilst far from the emotional weight of Shireen's death, is arguably the most intense fight the show has offered. And this is coming just one week after Hardhome, which, despite being the larger and more surprising fight, didn't have anywhere near as much at stake. After Jorah won his battle in the fighting pits, he throws a spear directly towards Dany, only for it to impale an incoming Son of the Harpy warrior. This immediately escalates into a full blown fight, with Dany and her company stranded in the middle of the arena, surrounded by attackers. As Dany takes Missandei's hand (the shot that stuck in my mind the most), she closes her eyes, and then we hear it. Dany and Drogon's relationship has been rocky for a while now, but it only seems right that he would come to save her in her most dire moment. Drogon fends off the attackers while taking a few spears himself, but when Dany approaches him he screeches at her. This was the moment that both Dany and the viewer understood the same thing; if she doesn't get him out of there, he will kill everyone, including the likes of Tyrion, Jorah, and Missandei. In what I can only describe as the most breathtaking moment of the entire show, Dany climbs atop of Drogon and leads him to the sky.And, for some reason, I found this really emotionally affecting. Dany has been my favourite character in this show for quite some time now, and to see her and Drogon together in such a way hit me harder than I imagined it would. They fly off together, leaving her company (and the audience) stood in awe at what they've just seen. This has been a slow season for Game of Thrones, but it was needed after the bloodbath that was season four. Every ounce of character work and narrative setup has led to this episode, and it exceeded any expectation I had of it. Every now and then, a television episode comes along that is all entertaining, thrilling, emotional and shocking. The Dance of Dragons managed this seamlessly, delivering the best hour of television so far this year."
165," The Sons of the Harpy attack
",10,True,As this episode opens Stannis's camp is attacked by a small force lead by Ramsey Bolton; important stocks and vital horses are destroyed and the attackers departed before anybody knows what is happening. This leads Stannis to order Davos Seaworth back to Castle Black to get further supplies; with him away Stannis does what Melisandre has demanded and makes a shocking sacrifice. Further north Jon and the Wildlings get to Castle Black and are relieved when the gate is opened. At the other end of Westeros Jaime Lannister meets Doran Martell and negotiates to take Myrcella back to King's Landing.Across the Narrow Sea in Essos Arya sets off to assassinate the 'thin man'; as she nears him she is distracted by the arrival of a boat carrying Mace Tyrell and more importantly Meryn Trant. She neglects her mission and follows Trant to a local brothel; she doesn't act against him but learns that he will be back the next day. In Meereen it is time for the Games where combatants fight to the death in the fighting pits. One of those fighting is Jorah Mormont who is determined to show his loyalty to Daenerys. As the fight ends The Sons of the Harpy attack spectators and move to kill Daenerys; she and a small group are surrounded in the middle of the pit when salvation comes in the form of one of her dragons.So far each 'episode nine' has either featured the surprising death of major characters or a battle that takes up the entire episode; this episode doesn't fit that pattern but it is still one of the most gripping as it frequently looks as though major characters are in real danger. This isn't to say that no recurring characters die; the death of Shireen Baratheon was one of the most surprising and disturbing deaths to date even though she was a relatively minor character. Arya's scenes were also fairly tense even though it never felt as though she would come to real harm. The highlight of the episode was of course the action in Meereen; this was exciting. This is especially true once the Sons of the Harpy attack even though I suspect many viewers will have expected a dragon to come to Daenerys's rescue it is still great when it appears. Overall a gripping episode that left me looking forward to the series finale.
166," Simply Beautiful
",10,True,"Now this episode is going to shake the internet!!! there is so much happening in this episode I don't really now what my feelings are, I'm honestly sad, excited, and scared of what is going to happen next. Many book readers don't like that D&D changed some story lines, but I'm really grateful they did as they changed the show to the better. Arya never meets ser Meryn Trant, nor Daenerys is directly attacked by the sons of harpy, and oh my god,they just killed two more characters that are still alive in books.... I don't want to spoil who for those who still didn't watch the episode... Overall, this was a hell of an episode that you don't want to miss!"
167," Fire and Ice.
",10,True,"Well, having just watched the episode I am still processing the things I saw. The episode certainly delivered scenes that evoked a lot of emotion - both sadness and elation to the degree few other shows can. Some will be mad as usual about the harshness of the storyline. *Spoilers follow for the episode so don't read if you haven't seen it*The episode primarily consisted of Stannis' choice in the north and Dany's arc. It developed Arya's arc which is leading hopefully to her confrontation of someone on her infamous list. The Dorne players made peace - setting up for the future. The first main storyline was the betrayal of Shireen Baratheon by her parents to the witch Melisandre. Though I was hoping against hope that Stannis' love for his daughter would win over his desperation - this was not the case. Those who claim this is inconsistency in his character though have viewed him with rose colored glasses. Let us not forget he had his brother Renly killed the last time he was at a critical juncture and sadly enough, his familial love once again lost out to his ""destiny"" and ambition. Stannis is brave and tough as Blackwater exhibited but those who ever thought he was a ""all round good guy"" were deluding themselves. He killed his brother and now he killed his daughter. I was never Team Stannis but still wonder how his ""destiny"" plays out and will look forward to seeing what develops. His wife redeemed herself slightly in this instance but still had let her brother burn in the beginning of season 2 so hardly an innocent either. Melisandre is well Melisandre - lives are just pieces on her board. I am sad for Shireen and Stannis is going to lose the good people that believed in him. Certainly Davos is going to be heartbroken.Now when Stannis clashes with the Boltons - I can only hope that Littlefinger wins (following his plan to swoop in at the end and defeat the weakened winnder) - lol saying a lot that Littlefinger is the one that I clearly root for in the battle of Winterfell!Dany's arc was suspenseful and glorious. At first I worried that there was no way I would be able to watch it after the horrible thing that happened with Stannis but the interactions of her companions quickly captured my attention. I am glad to see Jorah redeem himself (though his time is limited by his disease) and the image of Drogon flying in and defending Dany was marvelous as was her mounting him for the first time. Tyrion and Dany's mercenary boytoy were both in excellent witty form. There are going to be repercussions for the Sons of the Harpy and it was good to see some of them burn by dragon fire. We will see what happens next episode.In the end, the episode had both great sadness, suspense, and awe- inspiring imagery in the colliseum. As usual Thrones did not play it safe and many will as usual threaten ""rage-quits"" though at this stage honestly it sounds hollow - if you've been watching this long, you don't want your drama to take the safe route - you want it to push the boundaries and this is what GoT does. Sometimes you'll love it and sometimes you will be angry and heartbroken - don't pretend you don't know this by now."
168," Sheer Perfection
",10,True,"I didn't think they'd be able to match the quality of last week's episode ""Hardhome"", but here we are! ""The Dance of Dragons"" is without a doubt one of the most suspenseful and shocking episodes we've had so far - for a multitude of reasons...Firstly, I was surprised that Ramsay Bolton's ""attack"" on Stannis was over in under sixty seconds, and that we didn't actually see him or his twenty men, however it set up a decision for later on in the episode which I understand some took to disagreeing with.Jon Snow lets the Wildings through Castle Black and Ollie shoots him a nasty look - what is he planning? I fear that all of Jon's hard work may quickly be undermined by this young boy and his hatred for those who butchered his family.Arya's storyline is much more interesting in this episode as she's torn between her desire to become no-one and to please the Many-Faced-God, yet she's also oh-so-eager to cross some names off that wonderful little list of hers. I'm interested to see what her final decision will be: stick to her given task or go off and get her revenge.And what of Stannis' storyline? Well, I can't say his decision surprised me. Stannis has victory and the Iron Throne on his mind, and he will stop at nothing to get what he sees his destiny to be - as this episode clearly evidences. He sacrifices his own daughter Shireen to the Lord of Light in order to aid his war efforts and take Winterfell from the Boltons. I have to ask: were some people honestly surprised by this? Have you been paying any attention at all? This is Game of Thrones - nobody is safe:""If you think this has a happy ending, you haven't been paying attention.""Stannis murdered his own brother back in season two, sent thousands to their deaths in the Battle of Blackwater, forced his men to march on Winterfell despite the imminence of winter, and he even cut off the fingers of Davos! Surely nobody could possibly be surprised that he would sacrifice his own daughter? Especially since Melisandre repeatedly proves that her visions are true and the Lord of Light is powerful. Stannis is undoubtedly one of the most ruthless men in Westeros, so if you thought this was out of character for him, either start paying more attention or just stop watching altogether.The Fighting Pits: Daenerys, Jorah the explorah, Tyrion, The Sons of the Harpy, and Drogon. What more could you want? The duel with Jorah was exhilarating to watch. I truly thought for a second that Daenerys would stop the fight and have Jorah saved. I also thought that if she didn't intervene Jorah would surely die. I was wrong on both accounts: Jorah wins and expertly (and startlingly, I might add) throws a spear and kills a Son of the Harpy getting too-close-for-comfort to Daenerys. At this point, the Sons of the Harpy reveal themselves and the horror unfolds; the panic sets in and the bloodshed begins. It seemed hopeless for Daenerys and her allies, trapped in the middle of the pit, surrounded by far too many foes for them to take alone. And just when it was almost over, when she closed her eyes and held hands with Missandei, the electrifying screech of Drogon echoes and our hearts skip a beat. He comes to the rescue and sends the Sons of the Harpy running with flames at their feet. And then we are rewarded with something I never thought we'd see - Daenerys riding Drogon. I never thought she'd ever be able to, or would, but she did. And boy was that perfect. She truly is the Mother of Dragons - although that being said, at this point it seems appropriate for her to free Viserion and Rhaegal (her other two dragons, currently chained up) after this very close call.After what was a very gradual build-up for this season, I feel that it has paid off superbly considering last week's ""Hardhome"" and this week's episode. In addition, we didn't get any of King's Landing this week, which means we have that to look forward to next week in the season finale. And with all the tension building in King's Landing, this could make for the best season finale we've ever had in Game of Thrones."
169," The paths revealed by flame
",10,True,"As his efforts produced mixed results, Jon Snow tiredly returns to his castle, bringing hordes of equally weary survivors of White Walkers attack. Unbeknownst to him, The North has not seen the last of the fallen. In what may be the most vicious sacrifice in the show, and a strange contrast to Stannis' previously shown nature, he decides to trade his daughter for the promise of victory.There have been many deaths in the show, most are quick yet excruciating, but not Shireen's. Hers is through and through heart-wrenching. Her scream for parent's rescue fuels the agony even more.On the warmer side of the world, Jaime and Bronn unexpectedly get a more reasonable result on their political visit. Using actual politic maneuvering as well as a bit of luck, they manage to keep peace and their lives intact. There's lots of peculiar coalition between the two houses. It may just turn out well, after all there's bound to be one wedding where no one dies.Arya continues to perform her espionage duty as undercover merchant. Fate gives her a different path when she sees a familiar face, she follows this path to a brothel, of all places. If one unfortunate fate for a little girl isn't enough, there's an overwhelming hint of her exposed to a man's unusual appetite. This is a very uneasy development, really hoping she makes it through one more episode, with every bit of her unbroken.For the large skirmish on the snow before, this episode concludes with high octane battle on Daenerys' side. In a very entertaining gladiatorial game of death which then escalates into full blown riot, every character is involved in the intense survival. Honestly, the next scene could be the last of any character, the tension is genuine.It culminates in a mix of excellent choreography and visual effect. The show soars with sheer production value and its larger than life personalities."
170," An emotional and compelling episode that made me feel a bit sad
",10,True,"The Dance of Dragons is not only another classic episode, but it felt more emotional and compelling and it made me feel a bit sad. Mostly because of the choice Stannis made when he choose to sacrifice Shireen Baratheon, a sweet and innocent girl. I've heard that it polarized critics and fans of the books. Some liked it for it's strong character development while others hated it for betraying Stannis' character after the past few seasons. Anyway, everything else is so compelling.The characters are still believable, the story/script is well-written this time around, the action is great especially the end of the movie where Daenerys flies on her dragon which takes your breath away and the music score from Ramin Djawadi suited really well. The pacing is great and doesn't drag, the directing is great, the scenery/set/costumes are still gorgeous to look at, and the performances are still great. So, overall, another classic episode that is emotional and compelling. :)"
171," Either Or
",8,True,"I'm reading reviews that are all over the place. Apparently, some feel there are set of rules that can't be crossed. These folks should have stopped watching long ago. The series has pushed the envelope time after time after time. There's incest, sexual excess, nudity, graphic violence, on and on. The Game of Thrones is about power and the effects of power. When the little girl gets burned, many think the series has gone to far. It doesn't matter that numerous children have died in other episodes. What about the farm children that are the focus of Theon? This is a fiction and it's often about the worst of humanity. It's about every level of ambition possible. It is about people that see life as nothing, unless it's their own, and even then it's not valued. There are great scenes here. The final battle is quite amazing. Let's look at this series for what it is and stop imposing our own belief system on it. If you have very conservative views on this, it shouldn't be your cup of tea. I know that ""it is what it is"" is a cliché these days, but nothing is more apt. Also, quit comparing everything in the books to the film. Everyone knows that every adaptation that has been done is different from the final result. Hail ""King of Thrones"" for being honest and incredibly entertaining. I can't wait for the finale of Season 5."
172," Great episode
",10,True,"I know I will get a lot of hate because I said it was great, and many of these people will be book readers. First off, the Game of Thrones producers and writers never write something that George Martin doesn't agree with. After all they are his books and his ideas and plot lines. Secondly, George Martin himself said he intended to write more in ADWD when it was published, and the material in the book wasn't enough, so I'm guessing that we will start the sixth book with information that we already saw in the last few episodes in season 5. (I'm just guessing, don't eat me) In my opinion the episode was great and a little heartbreaking. We see a side of Stannis that we may have seen before but never to this extreme. I still can not get over his daughter's screams and cries for help, and the tears in his ""crazy"" wife's eyes as she watches her daughter burn to death. This scene was so intense, it may not have been in the books, but I don't think that the writers would take such a huge step without informing George about it, so I guess Martin was fine with this idea. This episode kind of showed us that Stannis is really dependent on the Lord of Light or whatever that is. I was always on his side and thought he will actually win the throne, but he seems to be way too dependent on this Lord of his. The most amazing scene out of all was the fighting pits. Jorah is one of the contestants and he wins(what a surprise.) Later, a rebellion, or you can call it a massacre occurs where they kill many of the people watching and they try to get to Dany. Dany and her unsullied become trapped and surrounded. Dany closes her eyes in a brief moment (I honestly thought she was getting ready to die) and out of nowhere comes our hero, Drogon! It was very interesting to watch Drogon actually involved in a fight. Dany then gets close to him and rides him for the very first time. It was very very fascinating to watch. I have really been waiting for this moment a long time. However, the dragon seemed a little bit weak when they started to attack him, for a moment I felt like he will pass out. I really hope they make the dragons stronger and bigger by next season. Really good episode overall! Can't wait for the finale."
173," Best episode of the series
",10,True,"This glorious episode of Game of Thrones, gave us everything we have been anticipating concerning the Blonde Queen and her dragons.However, even without the surprise visit from her favorite dragon at the end, the entire battle sequence was spectacular, and both sides of the battle actually still breathed air.....unlike the last episode, when I thought I was watching one of the Pirates of the Caribbean movies.The entire episode held your attention, was well written, well shot, perfectly directed, and displayed much of the potential this series is capable of.If you love Thrones, you will absolutely love this episode:"" The Dance of Dragons""."
174," It Was Worth It?
",10,True,"The most disturbing thing about this episode is Stannis burning her daughter alive for what he believes is the greater good, justifying himself with ""If a man knows what he is and remains true to himself, the choice is not choice at all. He must fulfill his destiny and become who he is meant to be, however much he hate it."" He believes he is the one true king and the one above the rest as a man with a great destiny upon him and with god backing him off. He will probably get disappointed after his god is a demon after all and all his plans are ruined. He will really regret doing the thing he did. At least the other players believe in themselves and not in some god that ask you to kill your daughter. And the mom regretted killing her own daughter at the last moment, she worried about her at the last correct moment. When all he did before was despising her."
175," I can't even wrap my head around how great it was.
",10,True,"I can't even find a place to start. It was just that good. I can sense that people are going to be freaking out about a huge change from the books, but I don't even care. It was just such a good episode. I am shaking from hype. And to think, only one of the three things we're all anticipating happened. Imagine how the next episode is going to be. I don't even know what else to say. The only reason I'm still typing is because reviews require ten lines to be submitted. I thought the episode where Oberyn fought The Mountain would be hard to beat, but I was so wrong.I don't need to explain any further why this episode was awesome. If you saw it, you know exactly why."
